"","artg","date","gmdn_desc","ppe","covid"
"1","321061",2019-07-31,"suture cutter",FALSE,FALSE
"2","321062",2019-07-31,"punch, surgical, biopsy",FALSE,FALSE
"3","321063",2019-07-31,"reinforced endotracheal tube, single-use",FALSE,FALSE
"4","321080",2019-07-31,"vascular graft extraluminal mesh-sleeve",FALSE,FALSE
"5","321081",2019-07-31,"alarm, software",FALSE,FALSE
"6","321082",2019-07-31,"sling, arm",FALSE,FALSE
"7","321083",2019-07-31,"ct",FALSE,FALSE
"8","321085",2019-07-31,"therapeutic air ionizer, stationary",FALSE,FALSE
"9","321086",2019-07-31,"penile rigidity device",FALSE,FALSE
"10","321087",2019-07-31,"gastrointestinal endoscopy preparation kit",FALSE,FALSE
"11","321088",2019-07-31,"bag, emesis",FALSE,FALSE
"12","321089",2019-07-31,"wristlet, patient",FALSE,FALSE
"13","321090",2019-07-31,"stocking, <specify>",FALSE,FALSE
"14","321120",2019-07-31,"button, gastrostomy",FALSE,FALSE
"15","321121",2019-07-31,"speculum, vaginal, single use",FALSE,FALSE
"16","321122",2019-07-31,"bone-screw internal spinal fixation system, non-sterile",FALSE,FALSE
"17","321123",2019-07-31,"nerve-locating probe, single-use",FALSE,FALSE
"18","321140",2019-07-31,"dental bonding agent, polymer based",FALSE,FALSE
"19","321141",2019-07-31,"portable oxygen concentrator",FALSE,FALSE
"20","321142",2019-07-31,"intravascular microflow catheter",FALSE,FALSE
"21","321161",2019-08-01,"bed, general-purpose, electrical",FALSE,FALSE
"22","321162",2019-08-01,"dental point, abrasive",FALSE,FALSE
"23","321163",2019-08-01,"implantable cardiac device management application software",FALSE,FALSE
"24","321164",2019-08-01,"cardiac pulse generator reader, home-use",FALSE,FALSE
"25","321166",2019-08-01,"implantable cardiac monitor",FALSE,FALSE
"26","321167",2019-08-01,"endoscope/instrument holder, manual-adjusted",FALSE,FALSE
"27","321168",2019-08-01,"surgical instrument container system",FALSE,FALSE
"28","321172",2019-08-01,"detergent, <specify>",FALSE,FALSE
"29","321174",2019-08-01,"antiseptic swab",FALSE,FALSE
"30","321175",2019-08-01,"sensor holder, single-use",FALSE,FALSE
"31","321176",2019-08-01,"wheelchair, attendant driven, collapsible",FALSE,FALSE
"32","321180",2019-08-01,"dermatological nd:yag/frequency-doubled nd:yag laser system",FALSE,FALSE
"33","321181",2019-08-01,"bowl, general purpose, single-use",FALSE,FALSE
"34","321183",2019-08-01,"bowl, general purpose, single-use",FALSE,FALSE
"35","321184",2019-08-01,"irrigation tubing set, general purpose",FALSE,FALSE
"36","321185",2019-08-01,"skin abrasion unit",FALSE,FALSE
"37","321186",2019-08-01,"transducer assembly, ultrasound, diagnostic, intracorporeal, intravascular, single-use",FALSE,TRUE
"38","321187",2019-08-01,"transducer assembly, ultrasound, diagnostic, intracorporeal, intravascular, single-use",FALSE,TRUE
"39","321188",2019-08-01,"stereotactic neuronavigation/planning system",FALSE,FALSE
"40","321189",2019-08-01,"hair growth laser comb",FALSE,FALSE
"41","321190",2019-08-01,"clamp, cannula",FALSE,FALSE
"42","321200",2019-08-01,"endoscope channel cleaning valve",FALSE,FALSE
"43","321220",2019-08-02,"resuscitator, pulmonary, manual, single use",FALSE,FALSE
"44","321221",2019-08-02,"cpap/bipap face mask, single-use",FALSE,TRUE
"45","321222",2019-08-02,"radio-frequency skin surface treatment system",FALSE,FALSE
"46","321223",2019-08-02,"compression unit, intermittent",FALSE,FALSE
"47","321224",2019-08-02,"alternating-pressure bed mattress system",FALSE,FALSE
"48","321225",2019-08-02,"retraction cord, gingival",FALSE,FALSE
"49","321226",2019-08-02,"gag, oral",FALSE,FALSE
"50","321227",2019-08-02,"denture base resin, thermoplastic",FALSE,FALSE
"51","321229",2019-08-02,"electrode, electrocardiograph, reusable",FALSE,FALSE
"52","321230",2019-08-02,"nasal irrigation saline solution, non-sterile",FALSE,FALSE
"53","321231",2019-08-02,"bowl, <specify>",FALSE,FALSE
"54","321232",2019-08-02,"stocking, <specify>",FALSE,FALSE
"55","321233",2019-08-02,"stent, vascular, carotid artery",FALSE,FALSE
"56","321247",2019-08-02,"catheter, angioplasty, balloon dilatation",FALSE,FALSE
"57","321248",2019-08-02,"blade, scalpel, single use",FALSE,FALSE
"58","321249",2019-08-02,"knife, scalpel",FALSE,FALSE
"59","321250",2019-08-02,"suture cutter",FALSE,FALSE
"60","321251",2019-08-02,"airway, laryngeal, single-use",FALSE,FALSE
"61","321252",2019-08-02,"lancet tip",FALSE,FALSE
"62","321253",2019-08-02,"atomizing surgical adhesive/sealant applicator",FALSE,FALSE
"63","321254",2019-08-02,"dental polishing cup, single-use",FALSE,FALSE
"64","321255",2019-08-02,"ultrasound system, imaging, general-purpose",FALSE,TRUE
"65","321260",2019-08-05,"monitor, vdu, colour",FALSE,FALSE
"66","321261",2019-08-05,"monitor, vdu, colour",FALSE,FALSE
"67","321262",2019-08-05,"prostate immobilization balloon catheter",FALSE,FALSE
"68","321263",2019-08-05,"sports concussion screening software",FALSE,FALSE
"69","321265",2019-08-05,"lice removal kit",FALSE,FALSE
"70","321266",2019-08-05,"travel socks",FALSE,FALSE
"71","321267",2019-08-05,"personal care aid, <specify>",FALSE,FALSE
"72","321268",2019-08-05,"endoscope channel cleaning valve",FALSE,FALSE
"73","321270",2019-08-05,"adhesive tape, general-purpose",FALSE,FALSE
"74","321271",2019-08-05,"gas sampling line set",FALSE,FALSE
"75","321273",2019-08-05,"leg intraoperative repositioning support",FALSE,FALSE
"76","321274",2019-08-05,"cochlear implant system sound processor",FALSE,FALSE
"77","321275",2019-08-05,"test instrument, <specify>",FALSE,FALSE
"78","321276",2019-08-05,"transport wheelchair, collapsible",FALSE,FALSE
"79","321278",2019-08-05,"medical image management system",FALSE,FALSE
"80","321279",2019-08-05,"bag, cadaver",FALSE,FALSE
"81","321283",2019-08-05,"irrigation tubing set, general purpose",FALSE,FALSE
"82","321284",2019-08-05,"retractor, general-purpose, self-retaining",FALSE,FALSE
"83","321285",2019-08-05,"endoscope element, obturator",FALSE,FALSE
"84","321287",2019-08-05,"surgical procedure kit, orthopaedic, <specify>",FALSE,FALSE
"85","321288",2019-08-05,"orthosis, arm, wrist, <specify>",FALSE,FALSE
"86","321289",2019-08-05,"orthosis, arm, shoulder, unit",FALSE,FALSE
"87","321290",2019-08-05,"catheter guide wire",FALSE,FALSE
"88","321291",2019-08-05,"hepatitis c virus immunoglobulin g (igg) antibody ivd, kit, chemiluminescent immunoassay",FALSE,FALSE
"89","321300",2019-08-05,"robotic surgical forceps",FALSE,FALSE
"90","321301",2019-08-05,"robotic surgical scissors",FALSE,FALSE
"91","321320",2019-08-06,"multi-modality skin surface treatment system",FALSE,FALSE
"92","321321",2019-08-06,"negative-pressure wound therapy system pump",FALSE,FALSE
"93","321322",2019-08-06,"passer, wire/ligature",FALSE,FALSE
"94","321323",2019-08-06,"abdominal binder, reusable",FALSE,FALSE
"95","321324",2019-08-06,"surgical procedure kit, laparoscopic, single-use, non-medicated",FALSE,FALSE
